Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,0,2,2,None
1,2,4,2,4,6,None
1,3,6,6,2,8,None
2,1,1,4,4,8,None
2,2,4,10,3,13,None
2,3,6,15,3,18,None
3,1,2,3,5,8,None
3,2,5,12,2,14,None
3,3,8,14,2,16,None
4,1,2,0,3,3,None
4,2,5,3,5,8,None
4,3,6,8,3,11,None
5,1,3,8,3,11,None
5,2,5,14,1,15,None
5,3,7,16,4,20,None
6,1,3,11,4,15,None
6,2,4,20,2,22,None
6,3,7,22,3,25,None
7,1,2,10,2,12,None
7,2,4,16,4,20,None
7,3,8,20,3,23,None
8,1,1,8,3,11,None
8,2,5,15,5,20,None
8,3,6,20,3,23,None
9,1,1,2,2,4,None
9,2,4,9,1,10,None
9,3,9,10,5,15,None
10,1,3,0,4,4,None
10,2,4,6,3,9,None
10,3,6,11,4,15,None
11,1,2,8,2,10,None
11,2,4,13,3,16,None
11,3,9,16,5,21,None
12,1,3,4,4,8,None
12,2,5,8,4,12,None
12,3,7,12,4,16,None
