Job,Operation,Machine,Start,Duration,End,Worker
1,1,2,0,2,2,None
1,2,4,2,4,6,None
1,3,6,6,2,8,None
2,1,1,2,4,6,None
2,2,4,6,3,9,None
2,3,9,9,4,13,None
3,1,2,2,5,7,None
3,2,5,8,2,10,None
3,3,8,10,2,12,None
4,1,3,4,4,8,None
4,2,5,10,5,15,None
4,3,6,16,3,19,None
5,1,3,8,3,11,None
5,2,5,15,1,16,None
5,3,7,16,4,20,None
6,1,3,11,4,15,None
6,2,4,19,2,21,None
6,3,7,21,3,24,None
7,1,2,9,2,11,None
7,2,4,15,4,19,None
7,3,8,19,3,22,None
8,1,1,9,3,12,None
8,2,5,16,5,21,None
8,3,6,21,3,24,None
9,1,1,0,2,2,None
9,2,5,2,2,4,None
9,3,9,4,5,9,None
10,1,1,6,3,9,None
10,2,4,9,3,12,None
10,3,6,12,4,16,None
11,1,2,7,2,9,None
11,2,4,12,3,15,None
11,3,9,15,5,20,None
12,1,3,0,4,4,None
12,2,5,4,4,8,None
12,3,6,8,3,11,None
