Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,12,2,14,None
1,2,4,19,4,23,None
1,3,8,25,2,27,None
2,1,1,8,4,12,None
2,2,4,16,3,19,None
2,3,9,20,4,24,None
3,1,2,4,5,9,None
3,2,5,12,2,14,None
3,3,8,16,2,18,None
4,1,2,9,3,12,None
4,2,5,18,5,23,None
4,3,6,24,3,27,None
5,1,3,0,3,3,None
5,2,5,6,1,7,None
5,3,7,8,4,12,None
6,1,3,3,4,7,None
6,2,4,11,2,13,None
6,3,6,14,4,18,None
7,1,2,2,2,4,None
7,2,4,7,4,11,None
7,3,8,13,3,16,None
8,1,1,2,3,5,None
8,2,5,7,5,12,None
8,3,7,13,3,16,None
9,1,1,0,2,2,None
9,2,5,4,2,6,None
9,3,9,8,5,13,None
10,1,1,5,3,8,None
10,2,4,13,3,16,None
10,3,6,18,4,22,None
11,1,2,0,2,2,None
11,2,4,4,3,7,None
11,3,6,8,6,14,None
12,1,3,7,4,11,None
12,2,5,14,4,18,None
12,3,7,19,4,23,None
